2019-05-26 18:16:19,388 [  13526]   INFO - il.indexing.FileBasedIndexImpl - Index docker.compose.services will be built. 
2019-05-26 18:16:19,392 [  13530]   INFO - pl$FileIndexDataInitialization - Initialization done:479 
2019-05-26 18:16:19,393 [  13531]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.namespaceKey will be built. 
2019-05-26 18:16:19,396 [  13534]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index dom.elementClass will be built. 
2019-05-26 18:16:19,397 [  13535]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.ampersand.selector will be built. 
2019-05-26 18:16:19,398 [  13536]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.class will be built. 
2019-05-26 18:16:19,399 [  13537]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.id will be built. 
2019-05-26 18:16:19,400 [  13538]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.attr will be built. 
2019-05-26 18:16:19,401 [  13539]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.custom.property will be built. 
2019-05-26 18:16:19,402 [  13540]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Css.custom.mixin will be built. 
2019-05-26 18:16:19,404 [  13542]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index markdown.header will be built. 
2019-05-26 18:16:19,405 [  13543]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Less.mixins will be built. 
2019-05-26 18:16:19,406 [  13544]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Less.variables will be built. 
2019-05-26 18:16:19,408 [  13546]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Scss.variable will be built. 
2019-05-26 18:16:19,410 [  13548]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Scss.placeholder.selector will be built. 
2019-05-26 18:16:19,411 [  13549]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Scss.function will be built. 
2019-05-26 18:16:19,412 [  13550]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Scss.mixin will be built. 
2019-05-26 18:16:19,413 [  13551]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Stylus.variables will be built. 
2019-05-26 18:16:19,413 [  13551]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index Stylus.mixins will be built. 
2019-05-26 18:16:19,414 [  13552]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.qualified.shortName will be built. 
2019-05-26 18:16:19,415 [  13553]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.element.qualifiedName will be built. 
2019-05-26 18:16:19,416 [  13554]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index JS.global.qualified.elements will be built. 
2019-05-26 18:16:19,417 [  13555]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index ts.external.module.index will be built. 
2019-05-26 18:16:19,418 [  13556]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index JS.class.super will be built. 
2019-05-26 18:16:19,420 [  13558]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index JS.class.implements will be built. 
2019-05-26 18:16:19,421 [  13559]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index JS.custom.stub.index will be built. 
2019-05-26 18:16:19,423 [  13561]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.symbol.index2 will be built. 
2019-05-26 18:16:19,424 [  13562]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.typedef.index2 will be built. 
2019-05-26 18:16:19,425 [  13563]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.generics.index will be built. 
2019-05-26 18:16:19,427 [  13565]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index JS.base.types.index will be built. 
2019-05-26 18:16:19,429 [  13567]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.class.index2 will be built. 
2019-05-26 18:16:19,430 [  13568]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.namespace.index will be built. 
2019-05-26 18:16:19,432 [  13570]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.namespace.including.local.members.index will be built. 
2019-05-26 18:16:19,433 [  13571]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index JS.subclass.stub.index will be built. 
2019-05-26 18:16:19,435 [  13573]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.symbol.qualified.names.index will be built. 
2019-05-26 18:16:19,436 [  13574]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index amd.baseUrl.index will be built. 
2019-05-26 18:16:19,437 [  13575]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index amd.requirePaths.index will be built. 
2019-05-26 18:16:19,439 [  13577]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.global.symbol.index will be built. 
2019-05-26 18:16:19,440 [  13578]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index js.exported.index will be built. 
